"Scenario","N_AC","b_X","b_EM","meanX_AC","corX","maic.ate","maic.ate.mcse","maic.lci.mean","maic.lci.mcse","maic.uci.mean","maic.uci.mcse","maic.bias","maic.bias.mcse","maic.mse","maic.mse.mcse","maic.mae","maic.mae.mcse","maic.cov","maic.cov.mcse","maic.empse","maic.empse.mcse","maic.vr","maic.vr.mcse","maic.error.worse.than","maic.error.worse.than.mcse","maic.std.bias","maic.aess.mean","maic.aess.mcse","stc.ate","stc.ate.mcse","stc.lci.mean","stc.lci.mcse","stc.uci.mean","stc.uci.mcse","stc.bias","stc.bias.mcse","stc.mse","stc.mse.mcse","stc.mae","stc.mae.mcse","stc.cov","stc.cov.mcse","stc.empse","stc.empse.mcse","stc.vr","stc.vr.mcse","stc.error.worse.than","stc.error.worse.than.mcse","stc.std.bias","stc.no.convergence","bucher.ate","bucher.ate.mcse","bucher.lci.mean","bucher.lci.mcse","bucher.uci.mean","bucher.uci.mcse","bucher.bias","bucher.bias.mcse","bucher.mse","bucher.mse.mcse","bucher.mae","bucher.mae.mcse","bucher.cov","bucher.cov.mcse","bucher.empse","bucher.empse.mcse","bucher.vr","bucher.vr.mcse","bucher.std.bias"
1,150,0.400477566597125,0.400477566597125,0.45,0,-0.00972627449692687,0.00675796606537959,-0.429175581049813,0.00698967435209801,0.409723032055959,0.0065968664336793,-0.00972627449692687,0.00675796606537959,0.0457190356510708,0.0020176556624369,0.169825920787735,0.00675796606537959,0.95,0.00689202437604511,0.213705651167259,0.00478099472714539,1.00141797623078,0.0224162282231144,0.428,0.0156465970741245,-4.55124815081025,117.677113264155,0.341724027205557,-0.0646963881377286,0.00742317753740603,-0.51266499256819,0.00766269269984942,0.383272216292733,0.00722625932692397,-0.0646963881377286,0.00742317753740603,0.0592340838251653,0.00266466451665816,0.195336965927284,0.00742317753740603,0.938,0.00762600813007697,0.234741484940028,0.00525160563424772,0.973665180309186,0.0217911768219657,0.506,0.0158102498398982,-27.5606964632848,0,-0.0946624133487879,0.00670062718873384,-0.503866181364747,0.00693418965505086,0.314541354667171,0.00647851654611266,-0.0946624133487879,0.00670062718873384,0.0538144788186935,0.00226246055388989,0.187386623155793,0.00670062718873384,0.927,0.00822623850857729,0.211892436680499,0.00474042973107236,0.985317231406549,0.0220463917579085,-44.6747485808209
2,300,0.400477566597125,0.400477566597125,0.45,0,0.0103220957254192,0.00506608312955075,-0.309957587198683,0.00515526766924078,0.330601778649521,0.0050042906728318,0.0103220957254192,0.00506608312955075,0.0257460787374079,0.00110499539809912,0.128937209971009,0.00506608312955075,0.955,0.00655553201502365,0.160203615051342,0.00358405421029617,1.0200207039964,0.0228234615158363,0.442,0.0157046489932122,6.44311036433926,237.640134808318,0.526399458642394,-0.034165830199404,0.00536264478859091,-0.368663392674421,0.00545002402656982,0.300331732275613,0.00528719990703988,-0.034165830199404,0.00536264478859091,0.0298965051226871,0.0012412047983614,0.139828700790078,0.00536264478859091,0.95,0.00689202437604511,0.169581718143794,0.00379385989952685,1.00638889351585,0.0225164763051809,0.495,0.0158105977116616,-20.1471187893223,0,-0.0754352467775306,0.00503413642948942,-0.389542296183349,0.00511581955335307,0.238671802628288,0.00495624448478877,-0.0754352467775306,0.00503413642948942,0.0310076635175088,0.00137252340877226,0.140672936505289,0.00503413642948942,0.928,0.00817410545564467,0.159193371692142,0.00356145317870394,1.00671052957952,0.0225225958219868,-47.3859218984393
3,600,0.400477566597125,0.400477566597125,0.45,0,-0.00883414421641093,0.0042775106766355,-0.267292756793931,0.0042869036678718,0.249624468361109,0.00427452001185489,-0.00883414421641093,0.0042775106766355,0.0183568425951783,0.000811777152695896,0.108232434763401,0.0042775106766355,0.939,0.00756828910652864,0.135266764538562,0.00302617026964218,0.974881469553692,0.0218105503961837,0.365,0.0152241584332271,-6.53090524235353,476.62169201976,0.835748264085951,-0.0461022413563155,0.0044541313219946,-0.312287794067297,0.00446245455064073,0.220083311354666,0.00444951883926802,-0.0461022413563155,0.0044541313219946,0.0219448632058158,0.00094847524072391,0.11974504900509,0.0044541313219946,0.924,0.00837997613361756,0.140851999749998,0.00315112241737384,0.964213864717043,0.0215716394557967,0.41,0.0155531347322654,-32.730981056814,0,-0.0924325073822636,0.00421019083944385,-0.347323632090504,0.00421850819323382,0.162458617325976,0.00420362420998774,-0.0924325073822636,0.00421019083944385,0.0262517496186046,0.00114869660649287,0.129001308658005,0.00421019083944385,0.883,0.010164201887015,0.133137924366188,0.00297854413723314,0.976798177498337,0.021852969812058,-69.4261291981939
4,150,0.693147180559945,0.400477566597125,0.45,0,-0.00679692523076871,0.00657266386536068,-0.406617313036255,0.00676242415944752,0.393023462574718,0.00643308090825909,-0.00679692523076871,0.00657266386536068,0.0432029085693236,0.00212887270961524,0.163466847712075,0.00657266386536068,0.94,0.00750999334220744,0.20784588109226,0.00464990072154548,0.981466368922859,0.0219657068336129,0.467,0.0157769135131052,-3.27017557194296,117.307041776723,0.341766351065572,-0.11056370181487,0.00725961119682809,-0.548754103685654,0.00747564316695817,0.327626700055914,0.00708235501265451,-0.11056370181487,0.00725961119682809,0.0648735849333901,0.0030660857973527,0.200393732837164,0.00725961119682809,0.918,0.00867617427210864,0.229569063092377,0.00513588889280864,0.973870942008127,0.0217947674535445,0.561,0.0156932788161047,-48.1614117884777,0,-0.081073953043691,0.00652231479719039,-0.478499351730961,0.00672182525150911,0.316351445643579,0.00633195402654152,-0.081073953043691,0.00652231479719039,0.0490710355854657,0.00230556420669609,0.175959297946967,0.00652231479719039,0.935,0.0077958322198467,0.206253703757408,0.00461428073957014,0.983118280253465,0.02199648562435,-39.3078774183122
5,300,0.693147180559945,0.400477566597125,0.45,0,0.00552183023760165,0.00493079551003801,-0.301063450380052,0.00500367224057773,0.312107110855255,0.00487575795600502,0.00552183023760165,0.00493079551003801,0.0243189222266221,0.00116228167537385,0.121931073426743,0.00493079551003801,0.941,0.00745110730026082,0.155925444882517,0.00348834354982807,1.0031969829171,0.0224455996352031,0.435,0.0156772127624779,3.5413272296655,237.869274184554,0.526847177080378,-0.0925467725868526,0.00534622360235679,-0.419257443689598,0.00542348395902182,0.234163898515893,0.00528083683038976,-0.0925467725868526,0.00534622360235679,0.0371184298158331,0.00171123708351592,0.151843949226038,0.00534622360235679,0.913,0.00891240708226459,0.169062434639978,0.00378224255726155,0.985980009530088,0.0220598082928812,0.567,0.0156687906361659,-54.7411805490279,0,-0.0724724239424726,0.00493038122237764,-0.377959741485406,0.00500708601883011,0.233014893600461,0.00485753068307985,-0.0724724239424725,0.00493038122237764,0.0295366025710735,0.00139421098500783,0.135566399733075,0.00493038122237764,0.92,0.00857904423581089,0.155912343956385,0.00348805045763131,0.999688263129579,0.0223654712361656,-46.4828005938684
6,600,0.693147180559945,0.400477566597125,0.45,0,0.00190315909848807,0.00400760467180073,-0.246750212316372,0.00401879377724568,0.250556530513348,0.00400176361424499,0.00190315909848807,0.00400760467180073,0.0160484563247878,0.000729063561466467,0.099890444478745,0.00400760467180073,0.943,0.00733150734842434,0.126731587244219,0.00283522240552806,1.00106294700679,0.0223961585282892,0.388,0.0154096073927923,1.50172434502898,477.318427384799,0.857802949951669,-0.0867007294527618,0.00418715371574907,-0.34649223609351,0.00419203526603313,0.173090777187986,0.00418593336885647,-0.0867007294527618,0.00418715371574907,0.0250317404707129,0.00106165393362811,0.12698078092545,0.00418715371574907,0.901,0.00944452222190196,0.132409426550043,0.0029622462798826,1.00105503162756,0.0223958310236706,0.534,0.0157747900144503,-65.4792726709635,0,-0.0763906862365029,0.004002915158997,-0.324428164376821,0.00400950480826073,0.171646791903815,0.00399782418974303,-0.0763906862365029,0.004002915158997,0.0218428433840417,0.000960604674277178,0.118723406098978,0.004002915158997,0.91,0.00904986187739901,0.126583291828456,0.0028319047599864,0.999753263964307,0.0223664892449622,-60.3481590129816
7,150,1.10866262452161,0.400477566597125,0.45,0,-0.00345036450148833,0.00622710935085734,-0.386068115279782,0.00640077353472165,0.379167386276805,0.00609556168435827,-0.00345036450148833,0.00622710935085734,0.0387500189918605,0.00171420233330622,0.157324243945646,0.00622710935085734,0.947,0.00708456067798138,0.196918487876418,0.00440543451739491,0.991358035553489,0.0221854687136333,0.459,0.0157581407532742,-1.75217905575921,117.116577878771,0.346233612969587,-0.184023185415893,0.00697521183863341,-0.614223779329245,0.00715181486331922,0.246177408497458,0.0068381097017407,-0.184023185415893,0.00697521183863341,0.0824694593842302,0.00356693405088292,0.232950887245139,0.00697521183863341,0.873,0.0105295299040366,0.220575565722524,0.00493468755223104,0.995097219733238,0.022269313663153,0.655,0.0150324648677454,-83.428635811542,0,-0.072990089535974,0.00623058181844902,-0.459324834608591,0.00639990054838854,0.313344655536643,0.00606798403890877,-0.072990089535974,0.00623058181844902,0.0441088828170606,0.00207377401952981,0.165264267761429,0.00623058181844902,0.936,0.0077397674383666,0.197028296943326,0.00440789115140067,1.00043084608453,0.0223831497797978,-37.0454856831905
8,300,1.10866262452161,0.400477566597125,0.45,0,-0.000385793644147728,0.00477543255776478,-0.294959708373873,0.00484576389495135,0.294188121085578,0.00471702790254454,-0.000385793644147728,0.00477543255776478,0.022782100194382,0.000966942582900314,0.122255557742969,0.00477543255776478,0.954,0.00662449998113065,0.151012436950603,0.00337843038240078,0.995252963192985,0.0222671142999667,0.449,0.0157289224042844,-0.255471437941183,237.115037823911,0.530516195202058,-0.173948111703219,0.00526193584402134,-0.494152104836463,0.00534250204937669,0.146255881430026,0.0051914428858494,-0.173948111703219,0.00526193584402134,0.0579182264228854,0.0022606106754598,0.197029153323992,0.00526193584402134,0.817,0.0122274690758145,0.166397021687879,0.00372261228917999,0.981822779040108,0.021966562104646,0.675,0.0148113132435986,-104.537995896046,0,-0.0677098551499561,0.00485048557669612,-0.364462277841994,0.00490608799017158,0.229042567542082,0.00479714714505021,-0.0677098551499561,0.00485048557669612,0.0280883076038354,0.00122219985679344,0.133123776762384,0.00485048557669612,0.925,0.00832916562447884,0.153385821801551,0.00343152743620301,0.987099574485833,0.022083584400813,-44.1434901574922
9,600,1.10866262452161,0.400477566597125,0.45,0,0.00267504381693538,0.00400316424548725,-0.236756936903289,0.00400771698912744,0.242107024537159,0.00400175275370278,0.00267504381693538,0.00400316424548725,0.0160164545117937,0.000700962882700993,0.101633594369877,0.00400316424548725,0.951,0.00682634602111555,0.126591168634892,0.00283208097886424,0.965007432184428,0.021589303965856,0.425,0.0156324982008635,2.11313620514131,475.948920693804,0.816916930852703,-0.166267497438798,0.00424449003508546,-0.420327389464752,0.00425397987181779,0.0877923945871559,0.00423813327517407,-0.166267497438798,0.00424449003508546,0.0456425606668426,0.00166120181962012,0.179161394255634,0.00424449003508546,0.74,0.0138708327075198,0.134222560167581,0.00300280946676002,0.965745070088263,0.02160582317495,0.746,0.0137653187394989,-123.874479246416,0,-0.0626305015371157,0.00414853061357532,-0.303454203093117,0.00415266620186242,0.178193200018886,0.00414540720032637,-0.0626305015371157,0.00414853061357532,0.0211156756683105,0.000936614769675672,0.116285643673791,0.00414853061357532,0.905,0.00927227048785787,0.131188056818339,0.00293492195684631,0.936605787601716,0.0209537136021649,-47.7410086375795
10,150,0.400477566597125,0.693147180559945,0.45,0,0.00330984828528236,0.00634616324243089,-0.398952929428868,0.0064791918704696,0.405572625999433,0.00627287935218381,0.00330984828528236,0.00634616324243089,0.040244469207353,0.00181805856008907,0.160199581380763,0.00634616324243089,0.954,0.00662449998113065,0.200683302493209,0.00448966045495551,1.022705326551,0.0228897521860293,0.386,0.015394934231753,1.64928932510185,117.607094610778,0.34305089364427,-0.00738401233657232,0.00708868891094732,-0.443484341842508,0.00720739196551057,0.428716317169363,0.0070120297091703,-0.00738401233657232,0.00708868891094732,0.050253784603898,0.00222571311667361,0.17933032739151,0.00708868891094732,0.948,0.00702111102319284,0.22416402582972,0.00501496810989233,0.992595738141422,0.0222134968051351,0.47,0.0157829021412413,-3.2940220043074,0,-0.138214808358598,0.00621951432007292,-0.537916447465533,0.00638712287960641,0.261486830748337,0.00606179709923376,-0.138214808358598,0.00621951432007292,0.0577470092688186,0.0025190245231206,0.192111495731082,0.00621951432007292,0.905,0.00927227048785787,0.196678311914639,0.00440006133235943,1.03688684859014,0.023199249805984,-70.2745549385156
